,RowID,Molecule name,Original_SMILES,Number of connected components,Canonical_QSARr,InChI_Code_QSARr,InChI Key_QSARr,Salt_Solvent,Salt_Solvent_ID,MACE_opt_Charge_P,DFT_opt_Charge_P,SMILES_Charge_P
183,202,Molecule_202,OP(=O)(F)CCC12C3C1CC23,1,OP(=O)(F)CCC12C3C1CC23,InChI=1S/C7H10FO2P/c8-11(910)2-1-7-4-3-5(7)6(4)7/h4-6H1-3H2(H910),HBYVFBMAKGYXJY-UHFFFAOYSA-N,,0,0.477465,0.478304,0.501449
184,203,Molecule_203,CC(CP(O)(=O)F)CCCC1CC1,1,CC(CP(O)(=O)F)CCCC1CC1,InChI=1S/C9H18FO2P/c1-8(7-13(1011)12)3-2-4-9-5-6-9/h8-9H2-7H21H3(H1112),NNYFKNCJMPWQGU-UHFFFAOYSA-N,,0,0.488354,0.483963,0.494529
185,204,Molecule_204,OP(=O)(F)CC1C=CCC=CC=1,1,OP(=O)(F)CC1C=CCC=CC=1,InChI=1S/C8H10FO2P/c9-12(1011)7-8-5-3-1-2-4-6-8/h13-6H27H2(H1011),AHVDZFZABBXSPN-UHFFFAOYSA-N,,0,0.482723,0.476868,0.489149
186,205,Molecule_205,OP(=O)(F)C12CC3CC3C1C2,1,OP(=O)(F)C12CC3CC3C1C2,InChI=1S/C7H10FO2P/c8-11(910)7-2-4-1-5(4)6(7)3-7/h4-6H1-3H2(H910),MNMMOAPGPVHCQT-UHFFFAOYSA-N,,0,0.474379,0.473308,0.487669
187,206,Molecule_206,OP(=O)(F)CC12CC1CCC2,1,OP(=O)(F)CC12CC1CCC2,InChI=1S/C7H12FO2P/c8-11(910)5-7-3-1-2-6(7)4-7/h6H1-5H2(H910),DSYSQKSMUOUAFH-UHFFFAOYSA-N,,0,0.477698,0.477403,0.489195
188,207,Molecule_207,OP(=O)(F)CC1C2CC1CC2,1,OP(=O)(F)CC1C2CC1CC2,InChI=1S/C7H12FO2P/c8-11(910)4-7-5-1-2-6(7)3-5/h5-7H1-4H2(H910),LFTDQPDHISVPPE-UHFFFAOYSA-N,,0,0.47736,0.479083,0.487391
189,208,Molecule_208,OP(=O)(F)CCC1C2CCC21,1,OP(=O)(F)CCC1C2CCC21,InChI=1S/C7H12FO2P/c8-11(910)4-3-7-5-1-2-6(5)7/h5-7H1-4H2(H910),WHRKRUPKHPYQPS-UHFFFAOYSA-N,,0,0.485815,0.479686,0.490398
190,209,Molecule_209,OP(=O)(F)CC1C2CCCC21,1,OP(=O)(F)CC1C2CCCC21,InChI=1S/C7H12FO2P/c8-11(910)4-7-5-2-1-3-6(5)7/h5-7H1-4H2(H910),JZXKVUCTDBDZEP-UHFFFAOYSA-N,,0,0.477984,0.480098,0.487064
191,210,Molecule_210,CC1=CCC=CC=C1P(O)(=O)F,1,CC1=CCC=CC=C1P(O)(=O)F,InChI=1S/C8H10FO2P/c1-7-5-3-2-4-6-8(7)12(910)11/h24-6H3H21H3(H1011),CAMSYFZVLGCWHO-UHFFFAOYSA-N,,0,0.469032,0.466666,0.475401
192,211,Molecule_211,OP(=O)(F)CCCC1C2CC21,1,OP(=O)(F)CCCC1C2CC21,InChI=1S/C7H12FO2P/c8-11(910)3-1-2-5-6-4-7(5)6/h5-7H1-4H2(H910),AZRKPJOVOLAWMS-UHFFFAOYSA-N,,0,0.477899,0.477376,0.486296
193,212,Molecule_212,CC1(C)CCCC1P(O)(=O)F,1,CC1(C)CCCC1P(O)(=O)F,InChI=1S/C7H14FO2P/c1-7(2)5-3-4-6(7)11(89)10/h6H3-5H21-2H3(H910),PCXHNNZZDDHMEB-UHFFFAOYSA-N,,0,0.478448,0.477767,0.494602
194,213,Molecule_213,CC1(CCC2CC12)P(O)(=O)F,1,CC1(CCC2CC12)P(O)(=O)F,InChI=1S/C7H12FO2P/c1-7(11(89)10)3-2-5-4-6(5)7/h5-6H2-4H21H3(H910),AYFWFHJGMSGZSJ-UHFFFAOYSA-N,,0,0.470782,0.470367,0.489095
196,215,Molecule_215,OP(=O)(F)CCCCC=C1CC1,1,OP(=O)(F)CCCCC=C1CC1,InChI=1S/C8H14FO2P/c9-12(1011)7-3-1-2-4-8-5-6-8/h4H1-35-7H2(H1011),QCTDUQNLNHFSER-UHFFFAOYSA-N,,0,0.476665,0.477665,0.486119
197,216,Molecule_216,CC1CCC2(CC21)P(O)(=O)F,1,CC1CCC2(CC21)P(O)(=O)F,InChI=1S/C7H12FO2P/c1-5-2-3-7(4-6(5)7)11(89)10/h5-6H2-4H21H3(H910),KZUZSVJJWMBTAC-UHFFFAOYSA-N,,0,0.394253,0.465231,0.452107
198,217,Molecule_217,OP(=O)(F)C12CC=CCCC1C2,1,OP(=O)(F)C12CC=CCCC1C2,InChI=1S/C8H12FO2P/c9-12(1011)8-5-3-1-2-4-7(8)6-8/h137H24-6H2(H1011),LURZCDPYNQJEDZ-UHFFFAOYSA-N,,0,0.468806,0.468798,0.494611
199,218,Molecule_218,OP(=O)(F)C1C2CC1C1CC12,1,OP(=O)(F)C1C2CC1C1CC12,InChI=1S/C7H10FO2P/c8-11(910)7-5-2-6(7)4-1-3(4)5/h3-7H1-2H2(H910),IAZWPCMQURMSDN-UHFFFAOYSA-N,,0,0.471159,0.471818,0.486623
200,219,Molecule_219,OP(=O)(F)CCC1CC21CC2,1,OP(=O)(F)CCC1CC21CC2,InChI=1S/C7H12FO2P/c8-11(910)4-1-6-5-7(6)2-3-7/h6H1-5H2(H910),NOZRSUBNYFVSDZ-UHFFFAOYSA-N,,0,0.47843,0.477489,0.487477
201,220,Molecule_220,CC1C2CC21CCP(O)(=O)F,1,CC1C2CC21CCP(O)(=O)F,InChI=1S/C7H12FO2P/c1-5-6-4-7(56)2-3-11(89)10/h5-6H2-4H21H3(H910),JTVDWDWYKAWLPU-UHFFFAOYSA-N,,0,0.482195,0.480556,0.48932
202,221,Molecule_221,CC1(CCP(O)(=O)F)CCCCC1,1,CC1(CCP(O)(=O)F)CCCCC1,InChI=1S/C9H18FO2P/c1-9(5-3-2-4-6-9)7-8-13(1011)12/h2-8H21H3(H1112),KJXIQFFFBALVLL-UHFFFAOYSA-N,,0,0.478426,0.47698,0.497658
204,223,Molecule_223,OP(=O)(F)CCC1CC2CC1CC2,1,OP(=O)(F)CCC1CC2CC1CC2,InChI=1S/C9H16FO2P/c10-13(1112)4-3-9-6-7-1-2-8(9)5-7/h7-9H1-6H2(H1112),GUKVXPXGMWYWLP-UHFFFAOYSA-N,,0,0.476384,0.476984,0.485411
205,224,Molecule_224,OP(=O)(F)C12CC3C1CCC23,1,OP(=O)(F)C12CC3C1CCC23,InChI=1S/C7H10FO2P/c8-11(910)7-3-4-5(7)1-2-6(4)7/h4-6H1-3H2(H910),XRFJFSYSOFZLFV-UHFFFAOYSA-N,,0,0.472203,0.470921,0.495039
206,225,Molecule_225,CC1CCC1OP(C)(=O)F,1,CC1CCC1OP(C)(=O)F,InChI=1S/C6H12FO2P/c1-5-3-4-6(5)9-10(27)8/h5-6H3-4H21-2H3,NQVYCPSVEHXSOQ-UHFFFAOYSA-N,,0,0.473012,0.478805,0.496195
207,226,Molecule_226,CC1=CCCC1OP(C)(=O)F,1,CC1=CCCC1OP(C)(=O)F,InChI=1S/C7H12FO2P/c1-6-4-3-5-7(6)10-11(28)9/h47H35H21-2H3,VAJIQWUSKSVVIS-UHFFFAOYSA-N,,0,0.475307,0.475874,0.497706
208,227,Molecule_227,CP(=O)(F)OC12CC1CC2,1,CP(=O)(F)OC12CC1CC2,InChI=1S/C6H10FO2P/c1-10(78)9-6-3-2-5(6)4-6/h5H2-4H21H3,PDTRTRPIBQSZPC-UHFFFAOYSA-N,,0,0.48172,0.479944,0.487041
209,228,Molecule_228,CCC1CC1=COP(C)(=O)F,1,CCC1CC1=COP(C)(=O)F,InChI=1S/C7H12FO2P/c1-3-6-4-7(6)5-10-11(28)9/h5-6H3-4H21-2H3,YODVBTIXJZHJNB-UHFFFAOYSA-N,,0,0.486242,,0.502062
